;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category
80;Skoda;Octavia;2014-11-01;11590.0;Guter Preis;164600.0;Schaltgetriebe;Diesel;4.6;122.0;184.0;0.0704131227217497;7.589999999999999;1404.72;2257.91;True
81;Mercedes-Benz;E 250;2015-10-01;15999.0;Sehr guter Preis;192996.0;Automatik;Diesel;;;204.0;0.08289809115214823;;;;True
82;Toyota;Auris;;;Keine Information;;Keine Information;Keine Information;;;;;;;;True
83;Nissan;Qashqai;2020-06-01;9900.0;Sehr guter Preis;350000.0;Schaltgetriebe;Diesel;3.8;100.0;116.0;0.028285714285714286;6.27;1160.42;1850.75;True
84;BMW;116;2011-06-01;8390.0;Guter Preis;123824.0;Automatik;Benzin;6.6;154.0;122.0;0.06775746220441918;11.681999999999999;2162.04;2850.15;True
85;Mazda;CX-5;2012-06-01;12450.0;Sehr guter Preis;113000.0;Automatik;Benzin;6.6;155.0;160.0;0.11017699115044248;11.681999999999999;2162.04;2868.66;True
86;Audi;A6;2016-02-01;12950.0;Sehr guter Preis;188780.0;Schaltgetriebe;Diesel;4.6;;190.0;0.06859836847123636;7.589999999999999;1404.72;;True
87;Mercedes-Benz;Viano;2013-06-01;17999.0;Keine Information;174000.0;Automatik;Diesel;8.5;225.0;224.0;0.10344252873563219;14.024999999999999;2595.67;4164.18;True
88;Mercedes-Benz;E 300;2013-07-01;15999.0;Fairer Preis;208277.0;Automatik;Diesel;5.5;157.0;231.0;0.07681597103856883;9.075;1679.55;2905.67;True
89;Mercedes-Benz;GLK 220;2011-06-01;13990.0;Fairer Preis;181134.0;Automatik;Diesel;6.9;182.0;170.0;0.07723563770468272;11.385;2107.07;3368.36;True
90;BMW;X5;2011-04-01;17998.0;Fairer Preis;160000.0;Automatik;Diesel;7.5;199.0;306.0;0.1124875;12.375;2290.3;3682.98;True
91;Skoda;Superb;2010-08-01;5990.0;Erhöhter Preis;163200.0;Schaltgetriebe;Benzin;6.8;161.0;125.0;0.03670343137254902;12.036;2227.56;2979.7;True
92;Audi;A4;2010-06-01;6700.0;Guter Preis;255000.0;Automatik;Diesel;6.5;170.0;190.0;0.02627450980392157;10.725;1984.92;3146.27;True
93;Fiat;Scudo;2014-02-01;8950.0;Guter Preis;155000.0;Schaltgetriebe;Diesel;;;128.0;0.057741935483870965;;;;True
94;Mercedes-Benz;C 180;2014-03-01;11000.0;Keine Information;100733.0;Automatik;Benzin;;;156.0;0.10919956717262466;;;;True
95;Volkswagen;Caddy;2015-12-01;10500.0;Fairer Preis;238944.0;Schaltgetriebe;Diesel;4.7;122.0;102.0;0.04394335074327039;7.755;1435.25;2257.91;True
96;Volkswagen;Touran;2012-02-01;6910.0;Guter Preis;156404.0;Schaltgetriebe;Erdgas (CNG);;;150.0;0.044180455742819875;;;;True
97;Opel;Meriva;2011-04-01;5980.0;Sehr guter Preis;73387.0;Schaltgetriebe;Benzin;5.6;;120.0;0.08148582173954515;9.911999999999999;1834.46;;True
98;Nissan;Juke;2014-09-01;5990.0;Erhöhter Preis;185000.0;Schaltgetriebe;Benzin;6.0;138.0;94.0;0.03237837837837838;10.620000000000001;1965.49;2554.03;True
99;Audi;A6 allroad;2017-01-01;17900.0;Sehr guter Preis;198999.0;Automatik;Diesel;5.6;149.0;272.0;0.08995020075477766;9.239999999999998;1710.09;2757.61;True
