brand,model,car_info,user_text,price,price_evaluation,kilometer,gear,date,fuel,power,consumption,co2
BMW,X1,sDrive 28i | Panoramadach | M-Paket,,15900,Ohne Bewertung,91600,,07/2013,Benzin,245,,
Mercedes-Benz,GLA 200,Automatik/AMG/Navi/Night/Temp/BiXen/Shz,,20999,Fairer Preis,75346,,07/2015,Benzin,156,,
BMW,X1,xDrive35i M-PAKET/LEDER/PANO/2.HAND/LED/306PS,,13900,Ohne Bewertung,145000,,11/2015,Benzin,306,,
Volkswagen,T-Roc,2.0 TSI R 4Motion LED|Navi|Kamera|ACC|PDC,,26440,Fairer Preis,83378,,09/2021,Benzin,300,,
Volkswagen,Tiguan,1.4 TSI ACT 4Motion(BMT)Highline Allwette,,17490,Fairer Preis,102204,,11/2016,Benzin,150,,
Volkswagen,Tiguan,2.0 TDI Highline StandH Navi AHK Kamera S,,27440,Fairer Preis,70700,,09/2020,Diesel,150,,
BMW,X1,20d Steptronic Sport Line+LED+NAVI+PANO+H&K,,24850,Erhöhter Preis,129427,,01/2020,Diesel,190,,
BMW,X6 M,4.4 V8 xDrive Navi Kamera HeadUp SoftClo...,,29999,Ohne Bewertung,98453,,03/2013,Benzin,555,,
Volkswagen,Tiguan,1.4 TSI Comfortline 1.Hand Pano AHK el.He,,16975,Fairer Preis,87473,,08/2016,Benzin,150,,
Volkswagen,Tiguan,1.4 TSI DSG Sitzheizung,,17990,Fairer Preis,73968,,11/2015,Benzin,150,,
Skoda,Kodiaq,KODIAQ STYLE 1.5TSI DSG NAVI+ACC-TEMPOMAT+KAMERA,,23889,Fairer Preis,99999,,01/2019,Benzin,150,,
Mercedes-Benz,GLA 250,AUTOMATIK|ALLRAD|KAMERA|STANDHEIZUNG|AHK,,19990,Guter Preis,100000,,10/2016,Benzin,211,,
BMW,X5,*xDrive25d*M-Paket*FULL*ACC*21'ALU*HUD*Luf*Led,,35600,Ohne Bewertung,93000,,10/2014,Diesel,258,,
BMW,X1,"sDrive18i AUTOMATIK,NAVI,AHK,XENON,LEDER,PDC",,15880,Ohne Bewertung,90000,,09/2014,Benzin,150,,
Volkswagen,Tiguan,Highline 4Motion Sitzheizung*Navi*E-Heck*,,22990,Guter Preis,139489,,08/2019,Diesel,239,,
Mercedes-Benz,ML 350,4M / Sonderfarbe / Winterkompletträder,,29500,Ohne Bewertung,,,,,,,
Volkswagen,Tiguan,1.4 TSI DSG Sound 4Motion AHK ACC Navi Si,,22950,Guter Preis,98158,,01/2018,Benzin,150,,
Audi,Q5,2.0 TFSIquattro,,19890,Ohne Bewertung,89900,,06/2013,Benzin,224,,
Volkswagen,Tiguan,2.0 TSI DSG 4M Highline LED ACC DCC Navi,,25950,Fairer Preis,77518,,01/2017,Benzin,220,,
Mercedes-Benz,GLA 250,2.0 4Matic AMG-Line 7G-DCT**AKTIONSPREIS,,16999,Ohne Bewertung,85125,,02/2015,Benzin,211,,
