;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;log_cleaned_price;log_price_per_km;log_CO2_Emission;log_CO2_per_year;car_age
72;72;BMW;320;2012-09-01;9490.0;248247.0;Automatik;Diesel;4.7;125.0;184.0;0.04;7.755;1435.25;2313.43;True;Autoscout24.de;9.158099260130491;0.0392207131532812;4.836281906951478;7.7469187159007635;12.342465753424657
73;73;Skoda;Superb;2013-09-01;9890.0;210000.0;Automatik;Diesel;6.1;159.0;170.0;0.05;10.065;1862.78;2942.69;True;Autoscout24.de;9.19938053173984;0.048790164169432;5.075173815233827;7.987419175391404;11.342465753424657
74;74;BMW;118;2013-12-01;9800.0;156850.0;Schaltgetriebe;Diesel;4.8;127.0;143.0;0.06;7.919999999999999;1465.79;2350.45;True;Autoscout24.de;9.19023970026918;0.0582689081239757;4.852030263919617;7.762787438135439;11.093150684931507
75;75;Volkswagen;Golf;2015-09-01;9950.0;249985.0;Automatik;Diesel;4.5;119.0;150.0;0.04;7.425;1374.18;2202.39;True;Autoscout24.de;9.205428327615165;0.0392207131532812;4.787491742782046;7.697752362455074;9.342465753424657
76;76;Mercedes-Benz;Sprinter;2013-06-01;9490.0;291500.0;Automatik;Diesel;9.7;256.0;163.0;0.03;16.005;2962.12;4737.91;False;Autoscout24.de;9.158099260130491;0.0295588022415444;5.54907608489522;8.463562430438865;11.594520547945205
77;77;Audi;Q5;2012-11-01;10990.0;339398.0;Automatik;Diesel;6.4;170.0;245.0;0.03;10.56;1954.39;3146.27;True;Autoscout24.de;9.3048320350689;0.0295588022415444;5.14166355650266;8.054290689380327;12.175342465753424
78;78;BMW;116;2014-02-01;7900.0;136017.0;Schaltgetriebe;Benzin;8.797979807008941;;136.0;0.06;;;;True;Autoscout24.de;8.974744612722734;0.0582689081239757;;;10.923287671232877
79;79;Audi;Q5;2014-04-01;15990.0;147988.0;Schaltgetriebe;Diesel;6.0;159.0;177.0;0.11;9.9;1832.24;2942.69;True;Autoscout24.de;9.679781342959442;0.1043600153242427;5.075173815233827;7.987419175391404;10.761643835616438
80;80;Mercedes-Benz;Vito;2012-05-01;14950.0;164000.0;Schaltgetriebe;Diesel;5.527296149047694;;163.0;0.09;;;;True;Autoscout24.de;9.612533466213929;0.0861776962410523;;;12.67945205479452
81;81;Dacia;Sandero;2019-01-01;6880.0;62248.0;Schaltgetriebe;Benzin;5.366397698469161;;73.0;0.11;;;;True;Autoscout24.de;8.83651926920248;0.1043600153242427;;;6.005479452054795
