Brand,Model,YearMonth,cleaned_Price,Price_Eval,Kilometer,Gear_Type,Fuel_Type,Consumption,CO2_g_km,Power_PS,source
Kia,Stonic,2017.0,15.049,,34400.0,Schaltgetriebe,Benzin,8.0,118.0,84.0,Auto.de
Mercedes-Benz,SONSTIGE,2017.0,17.049,,83750.0,Schaltgetriebe,Benzin,8.0,185.0,122.0,Auto.de
BMW,X5,2017.0,49.349,,53100.0,Automatik,Benzin,6.0,227.0,449.0,Auto.de
Volkswagen,Golf Sportsvan,2017.0,12.649,,141000.0,Schaltgetriebe,Benzin,8.0,185.0,150.0,Auto.de
Opel,Insignia,2017.0,15.049,,124126.0,Schaltgetriebe,Benzin,6.0,136.0,165.0,Auto.de
Ford,Focus,2017.0,14.049,,91840.0,Schaltgetriebe,Diesel,7.0,186.0,150.0,Auto.de
Opel,Corsa,2017.0,17.349,,78500.0,Schaltgetriebe,Benzin,0.0,0.0,207.0,Auto.de
Opel,Astra,2017.0,15.249,,31000.0,Halbautomatik,Benzin,8.0,185.0,105.0,Auto.de
Ford,Fiesta,2017.0,13.049,,97000.0,Schaltgetriebe,Benzin,8.0,185.0,86.0,Auto.de
Mercedes-Benz,E 250,2017.0,28.649,,113911.0,Automatik,Benzin,2.0,138.0,211.0,Auto.de
Volvo,XC90,2017.0,30.749,,146300.0,Automatik,Diesel,7.0,186.0,235.0,Auto.de
Volkswagen,Passat Variant,2017.0,20.049,,87800.0,Automatik,Diesel,7.0,123.0,150.0,Auto.de
Volkswagen,Golf Sportsvan,2017.0,14.949,,89694.0,Schaltgetriebe,Benzin,4.0,129.0,150.0,Auto.de
Opel,Karl,2017.0,12.549,,88900.0,Automatik,Benzin,6.0,0.0,75.0,Auto.de
Skoda,Rapid,2017.0,13.649,,55200.0,Schaltgetriebe,Benzin,4.0,101.0,95.0,Auto.de
Jeep,Grand Cherokee,2017.0,31.849,,130300.0,Automatik,Diesel,8.0,212.0,250.0,Auto.de
Renault,Megane,2017.0,12.149,,99500.0,Schaltgetriebe,Benzin,4.0,120.0,101.0,Auto.de
Fiat,Tipo,2017.0,11.149,,99500.0,Schaltgetriebe,Diesel,2.0,110.0,120.0,Auto.de
Volkswagen,Golf,2017.0,17.649,,56500.0,Schaltgetriebe,Benzin,8.0,110.0,131.0,Auto.de
Audi,A6,2017.0,47.749,,39913.0,Automatik,Diesel,4.0,169.0,326.0,Auto.de
Ford,Focus,2017.0,12.449,,78688.0,Schaltgetriebe,Benzin,7.0,108.0,125.0,Auto.de
Mazda,CX-3,2017.0,17.549,,83603.0,Automatik,Benzin,8.0,185.0,120.0,Auto.de
Volkswagen,Golf,2017.0,13.949,,79599.0,Schaltgetriebe,Benzin,8.0,109.0,110.0,Auto.de
BMW,1er M Coupe,2017.0,18.049,,112940.0,Schaltgetriebe,Benzin,8.0,185.0,184.0,Auto.de
Skoda,Fabia,2017.0,13.549,,15000.0,Schaltgetriebe,Benzin,8.0,185.0,95.0,Auto.de
Ford,Ranger,2017.0,31.749,,87109.0,Automatik,Diesel,7.0,186.0,200.0,Auto.de
Kia,Sorento,2017.0,26.149,,115150.0,Automatik,Diesel,7.0,186.0,200.0,Auto.de
Kia,Sorento,2017.0,25.249,,115150.0,Automatik,Diesel,7.0,186.0,200.0,Auto.de
Nissan,Micra,2017.0,11.549,,44800.0,Schaltgetriebe,Benzin,6.0,107.0,71.0,Auto.de
Volkswagen,up!,2017.0,10.549,,42500.0,Schaltgetriebe,Benzin,1.0,96.0,75.0,Auto.de
Ford,Focus,2017.0,12.049,,134251.0,Schaltgetriebe,Diesel,7.0,186.0,120.0,Auto.de
Porsche,Panamera,2017.0,59.849,,124500.0,Automatik,Benzin,8.0,185.0,462.0,Auto.de
Citroen,DS3,2017.0,8.649,,104000.0,Schaltgetriebe,Benzin,8.0,185.0,110.0,Auto.de
Mercedes-Benz,E 63 AMG,2017.0,62.949,,106000.0,Automatik,Benzin,8.0,185.0,612.0,Auto.de
Opel,Astra,2017.0,10.949,,127000.0,Schaltgetriebe,Benzin,9.0,114.0,125.0,Auto.de
Volkswagen,Polo,2017.0,9.949,,95400.0,Schaltgetriebe,Benzin,8.0,114.0,60.0,Auto.de
Porsche,991,2017.0,141.449,,48000.0,Automatik,Benzin,8.0,185.0,540.0,Auto.de
Jeep,Grand Cherokee,2017.0,26.549,,105505.0,Automatik,Diesel,7.0,186.0,250.0,Auto.de
Volkswagen,Tiguan,2017.0,25.449,,83578.0,Automatik,Benzin,2.0,166.0,180.0,Auto.de
Porsche,Panamera,2017.0,79.949,,87150.0,Automatik,Diesel,7.0,186.0,422.0,Auto.de
Ford,Transit Custom,2017.0,21.249,,137000.0,Schaltgetriebe,Diesel,7.0,186.0,105.0,Auto.de
Volvo,XC90,2017.0,35.949,,133900.0,Automatik,Diesel,6.0,158.0,235.0,Auto.de
Ford,Fiesta,2017.0,10.349,,92960.0,Schaltgetriebe,Benzin,0.0,0.0,80.0,Auto.de
Volkswagen,Beetle,2017.0,18.949,,32003.0,Schaltgetriebe,Benzin,1.0,124.0,105.0,Auto.de
Porsche,Panamera,2017.0,60.849,,124500.0,Automatik,Hybrid (Elektro / Benzin),8.0,85.0,462.0,Auto.de
