Unnamed: 0.1;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;car_age
1958;1958;Seat;Ateca;1-3-2021;28.689;;45750.0;Automatik;Benzin;9.0;157.0;150.0;0.0006270819672131148;15.93;2947.05;2904.5;False;Auto.de;4.071.184.120.465.430
1959;1959;Cupra;Leon;1-8-2021;26.689;;32492.0;Automatik;Benzin;8.0;185.0;245.0;0.0008214021913086298;14.16;2619.6;3422.5;False;Auto.de;3.652.292.950.034.220
1960;1960;Cupra;Formentor;1-12-2021;29.789;;27378.0;Automatik;Benzin;8.0;185.0;245.0;0.001088063408576229;14.16;2619.6;3422.5;False;Auto.de;33.182.751.540.041.000
1961;1961;Seat;Ateca;1-12-2021;26.689;;28997.0;Schaltgetriebe;Benzin;7.0;152.0;150.0;0.0009204055591957789;12.39;2292.15;2812.0;False;Auto.de;33.182.751.540.041.000
1962;1962;Volkswagen;Passat;1-12-2021;34.289;;54238.0;Automatik;Diesel;6.0;157.0;200.0;0.0006321951399387883;10.620.000.000.000.000;19.647.000.000.000.000;2904.5;False;Auto.de;33.182.751.540.041.000
1963;1963;Skoda;Kodiaq;1-10-2021;40.189;;49987.0;Automatik;Diesel;5.0;171.0;200.0;0.000803989037149659;8.85;1637.25;3163.5;False;Auto.de;3.485.284.052.019.160
1964;1964;Volkswagen;Golf;1-8-2021;32.189;;52586.0;Automatik;Diesel;7.0;186.0;200.0;0.0006121210968698894;12.39;2292.15;3441.0;False;Auto.de;3.652.292.950.034.220
1965;1965;Volkswagen;Passat;1-12-2021;36.089;;31271.0;Automatik;Diesel;1.0;161.0;200.0;0.0011540724633046593;1.77;327.45;2978.5;False;Auto.de;33.182.751.540.041.000
1966;1966;Volkswagen;Passat;1-12-2021;32.889;;54238.0;Automatik;Diesel;6.0;157.0;200.0;0.0006063829787234043;10.620.000.000.000.000;19.647.000.000.000.000;2904.5;False;Auto.de;33.182.751.540.041.000
1967;1967;Opel;Astra;1-12-2021;17.689;;27217.0;Schaltgetriebe;Benzin;2.0;118.0;110.0;0.0006499246794282985;3.54;654.9;2183.0;True;Auto.de;33.182.751.540.041.000
